Date and time      ,Julian Day   ,RA (J2000),Dec (J2000),mag,phase,"dist., AU",elong.
2017-08-16 20:02:00,2457982.45972,5h14m19.9s,+18°22'22.1", -9.99, 28.94%, 0.002496, +64°57'44.0"
2017-08-17 02:02:00, 2457982.70972,    5h34m08.0s, +18°54'51.2", -9.62, 25.46%, 0.002473, +60°28'57.5"
2017-08-17 08:02:00, 2457982.95972,    5h47m28.3s, +19°36'18.7", -9.63, 23.24%, 0.002424, +57°31'57.2"
2017-08-17 14:02:00, 2457983.20972,    5h57m40.1s, +19°42'21.0", -9.23, 21.67%, 0.002438, +55°22'03.7"
2017-08-17 20:02:00, 2457983.45972,    6h14m19.1s, +19°27'21.6", -9.30, 19.08%, 0.002485, +51°41'46.8"
2017-08-18 02:02:00, 2457983.70972,    6h34m48.0s, +19°36'06.3", -8.96, 16.04%, 0.002476, +47°06'40.2"
2017-08-18 08:02:00, 2457983.95972,    6h49m36.6s, +20°00'35.1", -8.75, 14.02%, 0.002425, +43°52'37.7"
2017-08-18 14:02:00, 2457984.20972,    6h59m39.6s, +19°53'29.4", -8.55, 12.75%, 0.002428, +41°45'00.3"
2017-08-18 20:02:00, 2457984.45972,    7h15m03.3s, +19°18'20.0", -8.34, 10.83%, 0.002479, +38°20'07.6"
2017-08-19 02:02:00, 2457984.70972,    7h35m33.2s, +19°02'00.6", -7.95, 8.46%, 0.002483, +33°43'52.2"
2017-08-19 08:02:00, 2457984.95972,    7h51m32.4s, +19°06'22.3", -7.46, 6.83%, 0.002435, +30°13'41.0"
2017-08-19 14:02:00, 2457985.20972,    8h01m30.7s, +18°46'30.7", -7.37, 5.91%, 0.002427, +28°05'05.2"
2017-08-19 20:02:00, 2457985.45972,    8h15m20.4s, +17°55'08.0", -6.90, 4.69%, 0.002478, +24°57'02.6"
2017-08-20 02:02:00, 2457985.70972,    8h35m11.6s, +17°16'01.1", -6.35, 3.16%, 0.002497, +20°25'12.6"
2017-08-20 08:02:00, 2457985.95972,    8h51m57.4s, +16°59'29.9", -5.22, 2.12%, 0.002453, +16°41'24.2"
2017-08-20 14:02:00, 2457986.20972,    9h01m55.9s, +16°27'35.8", -5.26, 1.60%, 0.002435, +14°28'58.7"
2017-08-20 20:02:00, 2457986.45972,    9h14m04.9s, +15°25'14.4", -4.23, 1.03%, 0.002484, +11°37'58.5"
2017-08-21 02:02:00, 2457986.70972,    9h32m47.2s, +14°28'36.5", -2.99, 0.40%, 0.002516, +7°16'25.6"
2017-08-21 08:02:00, 2457986.95972,    9h49m56.1s, +13°53'06.6", 2.51, 0.09%, 0.002479, +3°28'13.4"
2017-08-21 14:02:00, 2457987.20972,   10h00m00.8s, +13°10'17.0", 2.34, 0.02%, 0.002452, +1°24'01.4"
2017-08-21 20:02:00, 2457987.45972,   10h10m35.4s, +12°02'09.8", 3.43, 0.02%, 0.002497, +1°39'16.2"
2017-08-22 02:02:00, 2457987.70972,   10h27m52.0s, +10°54'52.1", -2.19, 0.25%, 0.002540, +5°43'31.5"
2017-08-22 08:02:00, 2457987.95972,   10h45m06.1s, +10°04'26.2", -2.81, 0.73%, 0.002512, +9°48'21.0"
2017-08-22 14:02:00, 2457988.20972,   10h55m24.3s, +9°12'14.6", -4.70, 1.14%, 0.002478, +12°14'02.9"
2017-08-22 20:02:00, 2457988.45972,   11h04m39.7s, +8°02'33.8", -4.17, 1.60%, 0.002516, +14°29'50.7"
2017-08-23 02:02:00, 2457988.70972,   11h20m26.2s, +6°51'29.7", -5.94, 2.55%, 0.002568, +18°20'26.8"
2017-08-23 08:02:00, 2457988.95972,   11h37m34.7s, +5°51'22.8", -6.25, 3.81%, 0.002550, +22°28'16.5"
2017-08-23 14:02:00, 2457989.20972,   11h48m14.5s, +4°51'49.2", -6.99, 4.73%, 0.002510, +25°03'37.2"
2017-08-23 20:02:00, 2457989.45972,   11h56m30.1s, +3°43'24.3", -6.97, 5.53%, 0.002540, +27°07'29.0"
2017-08-24 02:02:00, 2457989.70972,   12h10m50.4s, +2°34'24.2", -7.55, 7.02%, 0.002598, +30°38'32.2"
2017-08-24 08:02:00, 2457989.95972,   12h27m48.5s, +1°30'08.7", -7.79, 8.97%, 0.002590, +34°45'58.7"
2017-08-24 14:02:00, 2457990.20972,   12h38m58.3s, +0°25'36.7", -8.24, 10.39%, 0.002546, +37°30'50.5"
2017-08-24 20:02:00, 2457990.45972,   12h46m34.4s, -0°39'56.8", -8.29, 11.43%, 0.002566, +39°25'13.1"
2017-08-25 02:02:00, 2457990.70972,   12h59m36.9s, -1°42'35.4", -8.54, 13.26%, 0.002627, +42°36'03.7"
2017-08-25 08:02:00, 2457990.95972,   13h16m23.4s, -2°45'48.3", -8.76, 15.76%, 0.002629, +46°40'17.5"
2017-08-25 14:02:00, 2457991.20972,   13h28m11.3s, -3°52'36.1", -9.06, 17.65%, 0.002584, +49°34'38.5"
2017-08-25 20:02:00, 2457991.45972,   13h35m27.7s, -4°54'32.4", -9.16, 18.87%, 0.002593, +51°22'45.9"
2017-08-26 02:02:00, 2457991.70972,   13h47m22.3s, -5°48'05.6", -9.21, 20.86%, 0.002654, +54°13'57.9"
2017-08-26 08:02:00, 2457991.95972,   14h03m57.4s, -6°45'47.0", -9.45, 23.76%, 0.002665, +58°12'48.0"
2017-08-26 14:02:00, 2457992.20972,   14h16m30.8s, -7°51'53.9", -9.64, 26.07%, 0.002619, +61°16'27.2"
2017-08-26 20:02:00, 2457992.45972,   14h23m45.9s, -8°49'49.3", -9.79, 27.43%, 0.002617, +63°01'42.8"
2017-08-27 02:02:00, 2457992.70972,   14h34m42.4s, -9°32'51.8", -9.63, 29.44%, 0.002675, +65°34'45.6"
2017-08-27 08:02:00, 2457992.95972,   14h51m06.1s, -10°21'21.7", -9.97, 32.56%, 0.002695, +69°26'40.1"
2017-08-27 14:02:00, 2457993.20972,   15h04m31.1s, -11°23'41.5", -10.06, 35.21%, 0.002651, +72°39'21.9"
2017-08-27 20:02:00, 2457993.45972,   15h12m01.9s, -12°17'11.5", -10.28, 36.69%, 0.002637, +74°25'05.7"
2017-08-28 02:02:00, 2457993.70972,   15h22m09.2s, -12°49'15.4", -9.66, 38.63%, 0.002690, +76°42'07.3"
2017-08-28 08:02:00, 2457993.95972,   15h38m20.0s, -13°25'43.2", -10.38, 41.82%, 0.002717, +80°26'07.2"
2017-08-28 14:02:00, 2457994.20972,   15h52m40.3s, -14°21'04.9", -10.31, 44.72%, 0.002676, +83°47'34.3"
2017-08-28 20:02:00, 2457994.45972,   16h00m42.1s, -15°09'27.0", -10.67, 46.31%, 0.002652, +85°36'57.2"
2017-08-29 02:02:00, 2457994.70972,   16h10m08.6s, -15°30'41.4", -2.91, 48.11%, 0.002697, +87°40'31.2"
2017-08-29 08:02:00, 2457994.95972,   16h26m02.6s, -15°53'04.4", -10.72, 51.24%, 0.002730, +91°16'01.7"
2017-08-29 14:02:00, 2457995.20972,   16h41m18.6s, -16°38'19.1", -10.26, 54.29%, 0.002693, +94°45'54.3"
2017-08-29 20:02:00, 2457995.45972,   16h50m04.6s, -17°20'23.2", -10.99, 55.96%, 0.002659, +96°41'55.1"
2017-08-30 02:02:00, 2457995.70972,   16h58m57.7s, -17°31'17.0", -10.29, 57.59%, 0.002696, +98°34'51.1"
2017-08-30 08:02:00, 2457995.95972,   17h14m28.4s, -17°38'20.3", -11.00, 60.55%, 0.002734, +102°01'33.0"
2017-08-30 14:02:00, 2457996.20972,   17h30m36.3s, -18°10'31.8", -7.09, 63.62%, 0.002702, +105°39'25.9"
2017-08-30 20:02:00, 2457996.45972,   17h40m17.1s, -18°44'38.6", -11.25, 65.36%, 0.002660, +107°44'49.5"
2017-08-31 02:02:00, 2457996.70972,   17h48m44.0s, -18°45'46.8", -11.01, 66.81%, 0.002686, +109°30'08.0"
2017-08-31 08:02:00, 2457996.95972,   18h03m42.5s, -18°37'05.9", -11.23, 69.49%, 0.002728, +112°47'50.0"
2017-08-31 14:02:00, 2457997.20972,   18h20m33.6s, -18°53'46.5", -10.29, 72.46%, 0.002703, +116°33'07.3"
2017-08-31 20:02:00, 2457997.45972,   18h31m16.0s, -19°17'53.7", -11.47, 74.22%, 0.002654, +118°50'21.9"
2017-09-01 02:02:00, 2457997.70972,   18h39m24.4s, -19°09'47.2", -11.37, 75.49%, 0.002669, +120°31'11.4"
2017-09-01 08:02:00, 2457997.95972,   18h53m40.5s, -18°45'50.4", -11.42, 77.81%, 0.002713, +123°39'45.8"
2017-09-01 14:02:00, 2457998.20972,   19h11m01.9s, -18°45'20.4", -11.22, 80.54%, 0.002696, +127°31'33.8"
2017-09-01 20:02:00, 2457998.45972,   19h22m48.5s, -18°57'18.5", -11.65, 82.25%, 0.002642, +130°02'46.2"
2017-09-02 02:02:00, 2457998.70972,   19h30m46.3s, -18°40'17.0", -11.63, 83.34%, 0.002646, +131°42'21.7"
2017-09-02 08:02:00, 2457998.95972,   19h44m10.8s, -18°02'25.0", -11.56, 85.23%, 0.002691, +134°41'42.2"
2017-09-02 14:02:00, 2457999.20972,   20h01m46.5s, -17°44'12.3", -11.57, 87.59%, 0.002683, +138°38'42.7"
2017-09-02 20:02:00, 2457999.45972,   20h14m36.1s, -17°42'06.3", -11.79, 89.14%, 0.002626, +141°25'30.3"
2017-09-03 02:02:00, 2457999.70972,   20h22m32.3s, -17°16'15.6", -11.83, 90.04%, 0.002618, +143°07'12.0"
2017-09-03 08:02:00, 2457999.95972,   20h34m58.2s, -16°26'35.8", -11.63, 91.47%, 0.002663, +145°57'15.2"
2017-09-03 14:02:00, 2458000.20972,   20h52m31.8s, -15°51'29.8", -11.78, 93.32%, 0.002665, +149°57'38.2"
2017-09-03 20:02:00, 2458000.45972,   21h06m20.1s, -15°34'04.9", -11.87, 94.58%, 0.002608, +153°00'54.9"
2017-09-04 02:02:00, 2458000.70972,   21h14m24.5s, -14°59'18.8", -11.98, 95.27%, 0.002589, +154°48'04.7"
2017-09-04 08:02:00, 2458000.95972,   21h25m49.5s, -14°00'31.5", -11.56, 96.21%, 0.002632, +157°28'56.1"
