#time           flux       flux_err
  260.245634152    14.40491     1.18654 
  260.266067085     8.53110     1.18621 
  260.286499918    10.22350     1.18648 
  260.306932951    13.43389     1.18693 
  260.327365883    10.49076     1.18623 
  260.347798716    10.45216     1.18661 
  260.388664679    10.02054     1.18611 
  260.409097511    12.35667     1.18661 
  260.449963473     8.83109     1.18576 
  260.470396303     6.84857     1.18539 
  260.490829234     8.59825     1.18565 
  260.511262264    12.47523     1.18612 
  260.531695094     5.74174     1.18529 
  260.552128023     5.38430     1.18499 
  260.572560953     7.20530     1.18545 
  260.592993982     5.92131     1.18524 
  260.613426810     7.00688     1.18521 
  260.633859739     6.06601     1.18500 
  260.654292767     2.07056     1.18456 
  260.674725595     2.64083     1.18466 
  260.695158523     0.01138     1.18415 
  260.715591350    -1.71268     1.18388 
  260.736024377     0.20625     1.18433 
  260.756457304    -0.83228     1.18392 
  260.776890231    -0.09828     1.18392 
  260.797323157    -3.40979     1.18373 
  260.817756083    -2.79327     1.18386 
  260.838188909    -7.89413     1.18296 
  260.858621835    -6.15770     1.18291 
  260.899487785    -7.58827     1.18278 
  260.919920610    -9.09648     1.18282 
  260.940353634   -10.03362     1.18246 
  260.960786458   -11.99568     1.18230 
  260.981219382   -15.56742     1.18183 
  261.001652406   -12.09537     1.18208 
  261.022085229   -13.84505     1.18200 
  261.042518153   -14.12574     1.18192 
  261.062951075   -15.47759     1.18154 
  261.083383998   -13.98904     1.18182 
  261.103816920   -16.90140     1.18130 
  261.124249843   -18.31480     1.18114 
  261.144682864   -17.83792     1.18102 
  261.165115686   -18.24552     1.18124 
  261.185548607   -18.81775     1.18106 
  261.205981428   -22.75209     1.18038 
  261.226414449   -22.32030     1.18053 
  261.246847370   -21.44497     1.18048 
  261.267280190   -23.11398     1.18035 
  261.287713210   -22.18049     1.18002 
  261.308146130   -22.16581     1.18043 
  261.328579049   -23.84354     1.18013 
  261.349011868   -22.46020     1.18044 
  261.369444887   -20.18267     1.18121 
  261.389877806   -25.58885     1.17980 
  261.410310624   -27.08790     1.17956 
  261.430743642   -27.39056     1.17953 
  261.451176560   -28.81543     1.17948 
  261.492042395   -30.34374     1.17908 
  261.512475312   -33.21430     1.17854 
  261.532908129   -29.66079     1.17929 
  261.553341046   -30.69291     1.17902 
  261.573774062   -31.65424     1.17866 
  261.594206978   -28.91042     1.17901 
  261.614639794   -30.61180     1.17929 
  261.635072809   -32.36921     1.17872 
  261.655505724   -28.01792     1.17924 
  261.675938539   -31.72263     1.17895 
  261.696371454   -32.86237     1.17859 
  261.716804469   -34.03537     1.17847 
  261.737237283   -32.23536     1.17892 
  261.757670197   -34.12529     1.17859 
  261.778103210   -31.65637     1.17867 
  261.798536024   -32.75671     1.17854 
  261.818968937   -34.76484     1.17827 
  261.839401850   -29.57825     1.17914 
  261.859834762   -33.11914     1.17866 
  261.880267675   -33.52709     1.17857 
  261.900700587   -31.88441     1.17861 
  261.921133599   -33.80867     1.17865 
  261.941566410   -34.56847     1.17842 
  261.961999321   -32.26924     1.17874 
  261.982432332   -31.33104     1.17884 
  262.002865143   -31.94951     1.17888 
  262.023298054   -34.62263     1.17803 
  262.043730864   -34.87922     1.17831 
  262.084596784   -30.91232     1.17896 
  262.105029693   -31.59394     1.17872 
  262.125462602   -32.62766     1.17862 
  262.145895511   -32.50422     1.17868 
  262.166328420   -31.99576     1.17870 
  262.186761228   -34.50977     1.17841 
  262.207194237   -31.67799     1.17863 
  262.227627144   -33.50210     1.17840 
  262.248059952   -29.96887     1.17895 
  262.268492959   -31.00384     1.17884 
  262.288925767   -30.76006     1.17877 
  262.309358673   -30.16586     1.17890 
  262.329791580   -29.42110     1.17896 
  262.350224486   -31.88610     1.17861 
  262.370657392   -30.41907     1.17884 
  262.391090298   -30.72306     1.17867 
  262.411523204   -24.10208     1.18106 
  262.431956109   -21.45057     1.18000 
  262.452389014   -26.78756     1.17923 
  262.472822019   -27.46189     1.17906 
  262.493254823   -26.36999     1.17916 
  262.513687728   -23.92812     1.17956 
  262.534120532   -27.18751     1.17908 
  262.554553535   -24.92929     1.17928 
  262.595419242   -21.42087     1.17999 
  262.615852245   -19.28556     1.18025 
  262.636285148   -19.87415     1.18005 
  262.656718050   -22.61851     1.17962 
  262.677150852   -20.31804     1.18014 
  262.697583854   -18.60581     1.18077 
  262.718016756   -18.09308     1.18034 
  262.738449557   -15.60904     1.18052 
  262.758882558   -14.98461     1.18064 
  262.779315459   -14.82114     1.18084 
  262.799748260   -14.07931     1.18089 
  262.820181260   -10.01040     1.18127 
  262.840614160    -9.78166     1.18138 
  262.861046960    -7.00333     1.18177 
  262.881479860    -8.70106     1.18158 
  262.901912859    -5.29189     1.18197 
  262.922345658    -4.75613     1.18200 
  262.942778557    -2.86976     1.18220 
  262.963211555     0.80711     1.18272 
  262.983644454     2.02271     1.18298 
  263.004077252     5.06750     1.18352 
  263.065375944     9.12787     1.18385 
  263.085808841    13.11122     1.18456 
  263.106241838    12.69055     1.18447 
  263.126674634    12.70771     1.18439 
  263.147107531    16.63299     1.18506 
  263.167540527    17.04886     1.18520 
  263.187973322    17.34244     1.18504 
  263.208406218    22.36992     1.18585 
  263.228839113    20.81805     1.18570 
  263.249272008    23.11167     1.18614 
  263.269704903    30.58512     1.18751 
  263.290137797    27.18556     1.18662 
  263.310570791    27.18075     1.18649 
  263.331003585    27.23830     1.18654 
  263.351436479    28.26802     1.18679 
  263.371869272    27.57155     1.18646 
  263.392302265    29.00273     1.18664 
  263.412735158    28.24605     1.18658 
  263.433168051    29.04204     1.18656 
  263.453600943    30.32969     1.18696 
  263.474033835    29.64931     1.18671 
  263.494466727    32.23145     1.18699 
  263.514899619    32.79789     1.18718 
  263.555765401    33.19731     1.18722 
  263.576198192    33.61061     1.18721 
  263.596631182    33.22035     1.18717 
  263.617064073    31.86778     1.18710 
  263.637496863    32.69481     1.18718 
  263.657929853    34.24189     1.18743 
  263.678362742    34.55050     1.18742 
  263.698795531    30.56786     1.18697 
  263.719228421    33.66646     1.18725 
  263.739661309    34.73443     1.18751 
  263.760094198    33.79942     1.18721 
  263.800960074    29.89523     1.18685 
  263.821392862    31.06912     1.18703 
  263.841825749    29.02479     1.18666 
  263.862258537    29.70437     1.18694 
  263.882691524    29.53245     1.18674 
  263.903124410    30.92895     1.18705 
  263.923557197    30.17609     1.18681 
  263.943990183    28.30804     1.18648 
  263.964423069    27.86504     1.18665 
  263.984855855    26.74798     1.18644 
  264.005288840    27.69944     1.18664 
  264.025721725    23.85786     1.18597 
  264.046154610    24.46005     1.18610 
