#     time           flux       flux_err 
  0.000000000     0.56670     1.00808 
  0.040868497    -0.53340     1.00848 
  0.061302896     0.48652     1.00848 
  0.081737095     2.57686     1.00877 
  0.102171394     0.23375     1.00828 
  0.122605794     0.51112     1.00821 
  0.143039994     3.36019     1.00868 
  0.163474294     2.30216     1.00859 
  0.183908694     2.59149     1.00865 
  0.204342895     3.71774     1.00881 
  0.224777196     4.02480     1.00913 
  0.245211497     5.31323     1.00951 
  0.265645898     3.31898     1.00917 
  0.286080100     4.72390     1.00914 
  0.306514401     5.67766     1.00927 
  0.326948803     6.46022     1.00946 
  0.347383006     7.67913     1.00980 
  0.367817308     6.91370     1.00938 
  0.388251711     7.80380     1.00970 
  0.408685914     8.85099     1.00979 
  0.429120217     9.01712     1.00991 
  0.449554621    10.31717     1.01028 
  0.469988824     9.32125     1.01001 
  0.490423128     8.83731     1.00992 
  0.510857433    10.75774     1.01043 
  0.531291737    10.09408     1.01008 
  0.551726042    11.33640     1.01033 
  0.572160347    11.88426     1.01036 
  0.592594652    14.16895     1.01094 
  0.613028957    13.83609     1.01080 
  0.633463163    14.45036     1.01102 
  0.653897569    17.05303     1.01149 
  0.674331875    14.77324     1.01100 
  0.694766081    16.50191     1.01139 
  0.735634795    16.85636     1.01142 
  0.756069002    15.68038     1.01123 
  0.776503409    18.13903     1.01159 
  0.796937717    18.40625     1.01157 
  0.817371925    18.30206     1.01178 
  0.837806333    18.63105     1.01163 
  0.858240641    18.19572     1.01156 
  0.878674950    19.04108     1.01183 
  0.899109258    19.79155     1.01198 
  0.919543568    22.97133     1.01262 
  0.960412286    25.31470     1.01314 
  0.980846496    22.95636     1.01271 
  1.001280806    22.06669     1.01242 
  1.021715016    22.55794     1.01240 
  1.042149427    19.73984     1.01192 
  1.083017948    20.12613     1.01170 
  1.103452360    19.39416     1.01180 
  1.123886671    17.94649     1.01136 
  1.164755295    17.20308     1.01109 
  1.185189607    17.29857     1.01116 
  1.205623919    14.03930     1.01052 
  1.226058232    15.41677     1.01045 
  1.246492545    17.00468     1.01097 
  1.266926858    15.47441     1.01073 
  1.287361171    15.47071     1.01088 
  1.307795485    12.62922     1.01003 
  1.328229799    10.36629     1.00975 
  1.348664113    11.72458     1.00986 
  1.369098427    10.03575     1.00970 
  1.389532641     9.14866     1.00957 
  1.409967056     9.22936     1.00935 
  1.450835586     6.38606     1.00868 
  1.471269902     4.80709     1.00834 
  1.491704318     3.32216     1.00830 
  1.512138534     0.75795     1.00766 
  1.532572850    -0.78832     1.00713 
  1.553007266    -0.84201     1.00728 
  1.573441583    -1.52494     1.00715 
  1.593875800    -3.60409     1.00678 
  1.614310217    -4.11909     1.00668 
  1.634744534    -2.47285     1.00704 
  1.655178752    -4.33890     1.00628 
  1.675613170    -7.03397     1.00581 
  1.696047488    -7.03294     1.00584 
  1.716481706    -4.91266     1.00621 
  1.736916125   -10.39941     1.00502 
  1.757350444    -8.55246     1.00523 
  1.777784663    -9.66056     1.00507 
  1.798219082   -10.08694     1.00514 
  1.839087721   -12.33318     1.00471 
  1.859521941   -14.48908     1.00405 
  1.879956361   -15.20754     1.00402 
  1.900390682   -15.66876     1.00364 
  1.920824902   -16.62295     1.00369 
  1.941259323   -16.30455     1.00374 
  1.982127866   -19.89341     1.00310 
  2.002562288   -18.54192     1.00333 
  2.043430832   -20.28555     1.00309 
  2.063865254   -19.34504     1.00309 
  2.084299576   -19.01011     1.00305 
  2.104733799   -21.82262     0.99954 
  2.145602546   -20.96633     0.99985 
  2.166036869   -19.99880     1.00138 
  2.186471193   -19.18373     1.00301 
  2.206905517   -21.04996     0.99980 
  2.227339741   -20.18937     0.99982 
  2.247774165   -18.36951     1.00303 
  2.268208490   -21.54637     0.99943 
  2.288642715   -19.74071     0.99990 
  2.309077040   -20.49633     0.99975 
  2.329511465   -20.50150     0.99982 
  2.349945691   -20.28486     0.99989 
  2.370380017   -18.53297     1.00161 
  2.390814443   -21.26375     0.99960 
  2.411248669   -21.17703     0.99959 
  2.431682996   -21.05675     0.99965 
  2.452117423   -20.76106     0.99960 
  2.472551650   -19.62155     0.99905 
  2.492985977   -19.04823     1.00014 
  2.513420404   -17.99114     1.00010 
  2.533854732   -18.64284     0.99998 
  2.554288960   -17.29109     1.00168 
  2.574723388   -18.72698     1.00000 
  2.595157717   -18.79985     0.99991 
  2.615591945   -17.85176     1.00005 
  2.636026374   -17.97746     1.00019 
  2.656460703   -16.11046     1.00348 
  2.676894933   -17.15920     1.00167 
  2.697329362   -15.80100     1.00357 
  2.717763692   -15.32910     1.00358 
  2.738197922   -16.54303     1.00346 
  2.758632252   -13.84641     1.00399 
  2.779066683   -13.66566     1.00410 
  2.799500913   -13.72863     1.00399 
  2.819935244   -12.48872     1.00434 
  2.840369676   -11.77259     1.00447 
  2.860804007   -12.09108     1.00424 
  2.881238239    -9.81284     1.00500 
  2.901672670    -9.35162     1.00505 
  2.922107003    -9.50562     1.00488 
  2.942541235    -9.41468     1.00499 
  2.962975667    -7.81231     1.00542 
  2.983409900    -5.80310     1.00571 
  3.003844233    -7.25706     1.00546 
  3.024278667    -7.39445     1.00533 
  3.044712900    -7.78900     1.00528 
  3.065147234    -8.65793     1.00521 
  3.085581668    -6.86217     1.00549 
  3.106015902    -5.55472     1.00601 
  3.126450236    -6.84092     1.00552 
  3.146884671    -4.15548     1.00618 
  3.167318906    -1.77151     1.00669 
  3.187753241    -3.33352     1.00632 
  3.208187576    -3.40295     1.00636 
  3.228621912    -0.94877     1.00667 
  3.249056248    -4.20478     1.00613 
  3.269490584    -5.04523     1.00585 
  3.289925020     0.58176     1.00709 
  3.310359256    -3.09848     1.00620 
  3.330793593    -1.99614     1.00646 
  3.351228030    -1.85694     1.00663 
  3.371662267    -5.05367     1.00591 
  3.392096604    -5.07104     1.00581 
  3.412531042    -4.64940     1.00599 
  3.432965280    -1.95751     1.00645 
  3.453399618    -1.94030     1.00666 
  3.494268295    -0.56773     1.00685 
  3.514702634    -2.67193     1.00639 
  3.535137073    -2.32848     1.00653 
  3.555571412    -3.72661     1.00618 
  3.576005651    -0.84192     1.00678 
  3.596439991    -1.21599     1.00661 
  3.616874431    -1.98470     1.00653 
  3.637308671    -1.82485     1.00651 
  3.657743011    -0.64921     1.00673 
  3.678177452    -0.09455     1.00683 
  3.698611693    -0.06779     1.00689 
  3.719046034    -0.93673     1.00683 
  3.739480375     1.94288     1.00735 
  3.759914716     0.20605     1.00705 
  3.780349058     0.42715     1.00719 
  3.800783400     1.49560     1.00743 
  3.821217742     1.62998     1.00731 
  3.841652085     2.51053     1.00758 
  3.862086427     3.30461     1.00772 
  3.882520770     6.57438     1.00823 
  3.902955113     5.77522     1.00820 
  3.923389556     8.02172     1.00864 
  3.943823800     6.14835     1.00837 
  3.964258144     6.80280     1.00851 
  3.984692588     7.43979     1.00861 
  4.005126832    10.25694     1.00913 
  4.025561176    12.48735     1.00970 
  4.066429866    16.64240     1.01054 
  4.086864211    15.92858     1.01059 
  4.107298556    15.20014     1.01026 
  4.127732902    14.77815     1.01027 
  4.148167248    14.70889     1.01038 
  4.168601594    13.21803     1.00999 
  4.189035940    15.49859     1.01050 
  4.209470286    14.94445     1.01033 
  4.229904633    15.26346     1.01042 
  4.250339080    17.34494     1.01084 
  4.270773327    18.41967     1.01104 
  4.291207674    17.44698     1.01078 
  4.311642122    17.61664     1.01083 
  4.332076370    18.03811     1.01105 
  4.352510718    19.35743     1.01122 
  4.372945166    18.58304     1.01110 
  4.393379414    19.32310     1.01128 
  4.413813763    19.08238     1.01129 
  4.454682461    20.20623     1.01152 
  4.475116811    21.59583     1.01173 
  4.495551260    18.84880     1.01128 
  4.515985510    19.49542     1.01127 
  4.536419860    20.98423     1.01162 
  4.556854210    19.60796     1.01133 
  4.577288561    19.63488     1.01126 
  4.597722911    19.72401     1.01121 
  4.618157262    19.59651     1.01130 
  4.638591613    17.98795     1.01101 
  4.659025965    17.77313     1.01087 
  4.679460216    17.96774     1.01099 
  4.699894668    19.46686     1.01130 
  4.720329020    16.91409     1.01076 
  4.740763273    15.90028     1.01052 
  4.761197725    17.28730     1.01078 
  4.781632078    13.99869     1.01016 
  4.802066431    13.72605     1.01001 
  4.822500784    14.42120     1.01022 
  4.842935137    12.89867     1.00983 
  4.863369491    12.68256     1.01003 
  4.883803845    10.89436     1.00945 
