#     time           flux       flux_err 
  0.000000000     0.56670     1.00808 
  0.040868497    -0.53340     1.00848 
  0.061302896     0.48652     1.00848 
  0.081737095     2.57686     1.00877 
  0.102171394     0.23375     1.00828 
  0.122605794     0.51112     1.00821 
  0.143039994     3.36019     1.00868 
  0.163474294     2.30216     1.00859 
  0.183908694     2.59149     1.00865 
  0.204342895     3.71774     1.00881 
  0.224777196     4.02480     1.00913 
  0.245211497     5.31323     1.00951 
  0.265645898     3.31898     1.00917 
  0.286080100     4.72390     1.00914 
  0.306514401     5.67766     1.00927 
  0.326948803     6.46022     1.00946 
  1.001280806    22.06669     1.01242 
  1.021715016    22.55794     1.01240 
  1.042149427    19.73984     1.01192 
  1.083017948    20.12613     1.01170 
  1.103452360    19.39416     1.01180 
  1.123886671    17.94649     1.01136 
  1.164755295    17.20308     1.01109 
  1.185189607    17.29857     1.01116 
  1.205623919    14.03930     1.01052 
  1.226058232    15.41677     1.01045 
  1.246492545    17.00468     1.01097 
  1.266926858    15.47441     1.01073 
  1.287361171    15.47071     1.01088 
  1.307795485    12.62922     1.01003 
  1.328229799    10.36629     1.00975 
  2.002562288   -18.54192     1.00333 
  2.043430832   -20.28555     1.00309 
  2.063865254   -19.34504     1.00309 
  2.084299576   -19.01011     1.00305 
  2.104733799   -21.82262     0.99954 
  2.145602546   -20.96633     0.99985 
  2.166036869   -19.99880     1.00138 
  2.186471193   -19.18373     1.00301 
  2.206905517   -21.04996     0.99980 
  2.227339741   -20.18937     0.99982 
  2.247774165   -18.36951     1.00303 
  2.268208490   -21.54637     0.99943 
  2.288642715   -19.74071     0.99990 
  2.309077040   -20.49633     0.99975 
  3.003844233    -7.25706     1.00546 
  3.024278667    -7.39445     1.00533 
  3.044712900    -7.78900     1.00528 
  3.065147234    -8.65793     1.00521 
  3.085581668    -6.86217     1.00549 
  3.106015902    -5.55472     1.00601 
  3.126450236    -6.84092     1.00552 
  3.146884671    -4.15548     1.00618 
  3.167318906    -1.77151     1.00669 
  3.187753241    -3.33352     1.00632 
  3.208187576    -3.40295     1.00636 
  3.228621912    -0.94877     1.00667 
  3.249056248    -4.20478     1.00613 
  3.269490584    -5.04523     1.00585 
  3.289925020     0.58176     1.00709 
  3.310359256    -3.09848     1.00620 
  4.005126832    10.25694     1.00913 
  4.025561176    12.48735     1.00970 
  4.066429866    16.64240     1.01054 
  4.086864211    15.92858     1.01059 
  4.107298556    15.20014     1.01026 
  4.127732902    14.77815     1.01027 
  4.148167248    14.70889     1.01038 
  4.168601594    13.21803     1.00999 
  4.189035940    15.49859     1.01050 
  4.209470286    14.94445     1.01033 
  4.229904633    15.26346     1.01042 
  4.250339080    17.34494     1.01084 
  4.270773327    18.41967     1.01104 
  4.291207674    17.44698     1.01078 
  4.311642122    17.61664     1.01083 
  4.985975617     8.28575     1.00874 
  5.006409872     6.48594     1.00831 
  5.026844327     6.75953     1.00834 
  5.047278683     3.63335     1.00779 
  5.067712939     3.03241     1.00755 
  5.088147395     2.77233     1.00753 
  5.108581751    -0.81740     1.00672 
  5.129016107    -0.19788     1.00687 
  5.149450464     0.12922     1.00699 
  5.169884821    -3.55600     1.00609 
  5.190319178    -2.85587     1.00626 
  5.210753535    -2.48334     1.00628 
  5.231187893    -4.83015     1.00578 
  5.251622251    -5.52779     1.00569 
  5.272056709    -5.42920     1.00558 
  5.292490967    -6.17958     1.00534 
  5.312925325    -5.89111     1.00545 
  5.987259276   -16.02055     1.00010 
  6.007693642   -15.01973     1.00025 
  6.028127908   -13.34544     1.00076 
  6.048562374   -13.51131     1.00069 
  6.068996741   -13.64570     1.00066 
  6.089431108   -14.26100     1.00059 
  6.109865474   -13.56216     1.00074 
  6.130299842   -13.32195     1.00070 
  6.150734209   -12.23432     1.00076 
  6.171168577   -11.37511     1.00239 
  6.191602944   -10.47701     1.00412 
  6.212037212   -12.49879     1.00082 
  6.232471680   -11.05017     1.00411 
  6.252906049    -9.39919     1.00444 
  6.273340318    -8.80505     1.00463 
  6.293774786   -11.17844     1.00418 
  6.314209155   -10.73030     1.00425 
  6.988543354    -6.42744     1.00457 
  7.008977830    -6.38744     1.00452 
  7.029412107    -6.87240     1.00431 
  7.049846484    -6.74636     1.00434 
  7.070280961    -7.55843     1.00419 
  7.090715238    -7.76500     1.00412 
  7.111149615    -7.26575     1.00429 
  7.131584093    -7.71991     1.00417 
  7.152018370    -6.51287     1.00439 
  7.172452748    -6.37427     1.00448 
  7.192887227    -6.71883     1.00424 
  7.213321605    -6.44602     1.00426 
  7.233755884    -5.17902     1.00450 
  7.254190362    -4.40807     1.00469 
  7.274624741    -3.28018     1.00496 
  7.295059021    -3.87484     1.00489 
  7.989828039    21.00376     1.01036 
  8.010262425    22.11608     1.01053 
  8.030696912    24.04020     1.01097 
  8.051131199    20.64147     1.01022 
  8.071565586    22.57386     1.01057 
  8.092000074    20.99378     1.01023 
  8.112434361    20.62289     1.01023 
  8.132868749    21.05116     1.01026 
  8.153303237    20.18197     1.01009 
  8.173737525    20.98560     1.01055 
  8.194171913    19.24429     1.01013 
  8.214606402    19.65244     1.01020 
  8.235040791    18.53048     1.00988 
  8.255475080    19.64899     1.00995 
  8.275909569    19.74217     1.00992 
  8.296343958    18.97518     1.00971 
  8.991113319    -5.54302     1.00384 
  9.011547615    -5.24707     1.00405 
  9.031982012    -6.94355     1.00043 
  9.052416509    -3.92379     1.00403 
  9.072850806    -5.29292     1.00215 
  9.093285203    -7.31100     1.00036 
  9.113719701    -6.78869     1.00051 
  9.134153998    -6.93770     1.00061 
  9.154588396    -9.21482     0.99997 
  9.175022894    -9.59819     1.00000 
  9.195457293    -7.98137     1.00042 
  9.215891591    -9.08061     1.00017 
  9.236326090   -10.51487     0.99995 
  9.256760489    -8.54661     0.99992 
  9.277194788   -10.60908     0.99980 
  9.297629287    -9.54459     0.99990 
  9.971964475    -3.83527     1.00224 
  9.992398981    -5.44727     1.00065 
  10.012833387    -6.09097     1.00044 
  10.033267694    -7.57125     1.00021 
  10.053702200    -8.23164     1.00007 
  10.074136607    -8.14019     0.99988 
  10.094570914    -8.00985     1.00002 
  10.115005421    -7.33870     1.00016 
  10.135439829    -8.75420     0.99978 
  10.155874136    -6.74370     1.00024 
  10.176308544    -8.78552     0.99993 
  10.196743052    -7.63302     0.99999 
  10.217177360    -8.99148     0.99991 
  10.237611769    -9.21921     0.99975 
  10.258046177   -10.36646     0.99954 
  10.278480586   -10.75740     0.99957 
  10.298914995   -10.40543     0.99943 
  10.973250599     1.52020     1.00468 
  10.993685013     2.71813     1.00500 
  11.014119529     3.26392     1.00509 
  11.034553845     5.17317     1.00567 
  11.054988261     7.19606     1.00597 
  11.075422777    10.54920     1.00671 
  11.095857094    10.45576     1.00681 
  11.116291510    11.38587     1.00698 
  11.136726027    12.05434     1.00720 
  11.157160344    13.41022     1.00743 
  11.177594761    13.37271     1.00750 
  11.198029279    13.17596     1.00747 
  11.218463597    15.84995     1.00788 
  11.238898014    15.94192     1.00789 
  11.259332532    17.51727     1.00825 
  11.279766951    18.48041     1.00827 
  11.300201269    19.94460     1.00879 
  11.974537281    14.44047     1.00734 
  11.994971606    14.60342     1.00741 
  12.015406031    14.06029     1.00724 
  12.035840556    13.68372     1.00713 
  12.056274881    11.81164     1.00651 
  12.076709307    12.71585     1.00688 
  12.097143832    10.20068     1.00629 
  12.117578158     9.73877     1.00633 
  12.138012584     7.21103     1.00588 
  12.158447110     5.62802     1.00545 
  12.178881437     7.28794     1.00583 
  12.199315863     5.22539     1.00547 
  12.219750390     4.40016     1.00512 
  12.240184717     5.10356     1.00533 
  12.260619144     3.02303     1.00488 
  12.281053672     2.30259     1.00462 
  12.975824311   -12.03524     0.99852 
  12.996258745   -11.18601     0.99867 
  13.016693079   -11.88460     0.99839 
  13.037127613   -13.83153     0.99776 
  13.057562047   -11.08381     0.99838 
  13.077996382   -11.96711     0.99829 
  13.098430916   -12.48847     0.99810 
  13.118865351   -12.56658     0.99845 
  13.139299686   -12.78184     0.99833 
  13.159734221   -10.71868     0.99859 
  13.180168657   -10.96000     0.99890 
  13.200602992   -11.91291     0.99847 
  13.221037528   -13.02566     0.99832 
  13.241471964   -11.25759     0.99859 
  13.261906300   -13.27593     0.99821 
  13.282340736   -11.49126     0.99913 
  13.977111676   -23.89911     0.99586 
  14.017980661   -19.27415     0.99680 
