#time           flux       flux_err
  260.245634152    14.40491     1.18654 
  260.266067085     8.53110     1.18621 
  260.286499918    10.22350     1.18648 
  260.306932951    13.43389     1.18693 
  260.327365883    10.49076     1.18623 
  260.347798716    10.45216     1.18661 
  260.388664679    10.02054     1.18611 
  260.409097511    12.35667     1.18661 
  260.449963473     8.83109     1.18576 
  260.470396303     6.84857     1.18539 
  260.490829234     8.59825     1.18565 
  260.511262264    12.47523     1.18612 
  260.531695094     5.74174     1.18529 
  261.226414449   -22.32030     1.18053 
  261.246847370   -21.44497     1.18048 
  261.267280190   -23.11398     1.18035 
  261.287713210   -22.18049     1.18002 
  261.308146130   -22.16581     1.18043 
  261.328579049   -23.84354     1.18013 
  261.349011868   -22.46020     1.18044 
  261.369444887   -20.18267     1.18121 
  261.389877806   -25.58885     1.17980 
  261.410310624   -27.08790     1.17956 
  261.430743642   -27.39056     1.17953 
  261.451176560   -28.81543     1.17948 
  261.492042395   -30.34374     1.17908 
  261.512475312   -33.21430     1.17854 
  261.532908129   -29.66079     1.17929 
  262.227627144   -33.50210     1.17840 
  262.248059952   -29.96887     1.17895 
  262.268492959   -31.00384     1.17884 
  262.288925767   -30.76006     1.17877 
  262.309358673   -30.16586     1.17890 
  262.329791580   -29.42110     1.17896 
  262.350224486   -31.88610     1.17861 
  262.370657392   -30.41907     1.17884 
  262.391090298   -30.72306     1.17867 
  262.411523204   -24.10208     1.18106 
  262.431956109   -21.45057     1.18000 
  262.452389014   -26.78756     1.17923 
  262.472822019   -27.46189     1.17906 
  262.493254823   -26.36999     1.17916 
  262.513687728   -23.92812     1.17956 
  262.534120532   -27.18751     1.17908 
  263.208406218    22.36992     1.18585 
  263.228839113    20.81805     1.18570 
  263.249272008    23.11167     1.18614 
  263.269704903    30.58512     1.18751 
  263.290137797    27.18556     1.18662 
  263.310570791    27.18075     1.18649 
  263.331003585    27.23830     1.18654 
  263.351436479    28.26802     1.18679 
  263.371869272    27.57155     1.18646 
  263.392302265    29.00273     1.18664 
  263.412735158    28.24605     1.18658 
  263.433168051    29.04204     1.18656 
  263.453600943    30.32969     1.18696 
  263.474033835    29.64931     1.18671 
  263.494466727    32.23145     1.18699 
  263.514899619    32.79789     1.18718 
  264.209617581    17.61121     1.18535 
  264.230050563    14.67644     1.18493 
  264.250482946    17.68850     1.18520 
  264.270915628    14.20071     1.18489 
  264.291348610    14.58564     1.18502 
  264.311781492    10.88822     1.18438 
  264.332214273    10.83895     1.18431 
  264.352647254    11.50643     1.18450 
  264.393512916     6.59421     1.18381 
  264.413945796     5.24058     1.18370 
  264.434378776     3.64903     1.18335 
  264.475244436     4.54268     1.18352 
  264.495677415     4.19031     1.18341 
  264.516110194    -0.61074     1.18286 
  264.536543073     1.15308     1.18327 
  265.210827834   -22.51756     1.18005 
  265.231260705   -23.99322     1.17991 
  265.251693575   -21.45911     1.18013 
  265.272126445   -22.93993     1.17996 
  265.292559314   -24.37289     1.17964 
  265.312992183   -24.51431     1.17963 
  265.333425053   -24.50630     1.17967 
  265.353857921   -25.06999     1.17970 
  265.374290790   -24.04133     1.17955 
  265.394723558   -22.95398     1.17993 
  265.415156526   -24.61685     1.17963 
  265.435589394   -23.09601     1.17989 
  265.456022162   -26.28292     1.17950 
  265.476455129   -26.20777     1.17948 
  265.496887996   -24.08162     1.17979 
  265.517320763   -26.21097     1.17958 
  266.212038088   -10.18801     1.18170 
  266.232470846   -10.02730     1.18165 
  266.252903804    -8.77274     1.18197 
  266.273336562    -7.40710     1.18218 
  266.293769419    -7.21402     1.18230 
  266.314202376    -5.26050     1.18262 
  266.334635133    -3.92919     1.18294 
  266.355067990    -2.33320     1.18303 
  266.375500846     6.87187     1.18765 
  266.416366558     0.34979     1.18340 
  266.436799414     4.61152     1.18387 
  266.457232270     3.60874     1.18375 
  266.477665125     7.70006     1.18412 
  266.498097980     8.07512     1.18426 
  266.518530934    10.09472     1.18475 
  267.213247650    33.84843     1.18812 
  267.233680496    34.16602     1.18825 
  267.254113342    32.42764     1.18793 
  267.274546188    33.07840     1.18810 
  267.294979034    33.34059     1.18955 
  267.315411879    35.66560     1.18827 
  267.335844724    32.50031     1.18801 
  267.356277569    31.12595     1.18780 
  267.376710413    29.57932     1.18765 
  267.397143257    28.30377     1.18726 
  268.194023797    -6.19604     1.18270 
  268.214456731    -7.70478     1.18240 
  268.234889466    -9.18070     1.18235 
  268.255322300    -8.27105     1.18256 
  268.275755234    -9.37183     1.18227 
  268.296187968    -8.35954     1.18239 
  268.316620801    -8.94733     1.18236 
  268.337053735   -11.74247     1.18198 
  268.357486568   -13.42028     1.18162 
  268.377919300   -13.91478     1.18155 
  268.398352133   -11.96908     1.18193 
  268.418784965   -14.34444     1.18180 
  268.439217797   -15.50552     1.18147 
  268.459650629   -13.79720     1.18186 
  268.480083461   -15.41703     1.18147 
  268.500516292   -13.33303     1.18186 
  268.520949023   -17.95754     1.18128 
  269.195232318   -30.99076     1.17928 
  269.215665141   -29.19991     1.17941 
  269.236097864   -29.15980     1.17989 
  269.276963609   -28.93096     1.17953 
  269.297396331   -28.37430     1.17957 
  269.317829253   -27.77913     1.17975 
  269.338262075   -29.00033     1.17952 
  269.358694896   -29.07549     1.17961 
  269.379127618   -27.28276     1.17973 
  269.399560539   -25.95305     1.17996 
  269.419993359   -28.39413     1.17963 
  269.440426080   -24.79731     1.18019 
  269.481291720   -22.42916     1.18047 
  269.501724540   -22.45522     1.18024 
  269.522157360   -22.40417     1.18026 
  270.196440177    17.82929     1.18626 
  270.216872989    20.50659     1.18655 
  270.237305901    19.20623     1.18650 
  270.257738612    19.64842     1.18659 
  270.278171423    23.09174     1.18689 
  270.298604334    22.32768     1.18706 
  270.319037044    23.07493     1.18705 
  270.339469855    23.89690     1.18725 
  270.359902565    27.36308     1.18758 
  270.421201094    27.07847     1.18761 
  270.441633903    27.09777     1.18752 
  270.462066712    28.13408     1.18786 
  270.482499521    30.77865     1.18824 
  270.502932230    28.76776     1.18781 
  271.197647485    23.86924     1.18722 
  271.218080386    22.61050     1.18695 
  271.238513086    22.70300     1.18723 
  271.258945886    22.04237     1.18703 
  271.279378786    20.08698     1.18680 
  271.299811586    20.91872     1.18670 
  271.340677085    19.80309     1.18689 
  271.361109984    16.93431     1.18641 
  271.381542683    18.00743     1.18649 
  271.401975481    13.25086     1.18598 
  271.422408379    10.80951     1.18535 
  271.442841078    11.30000     1.18562 
  271.463273876    10.52989     1.18584 
  271.483706673     9.79215     1.18544 
  271.504139471     7.07110     1.18513 
  272.198854352   -18.11282     1.18131 
